station,data,obs_type,obs_value,TMAX_F
ITE00100550,18640117,TMAX,-6.3,20.66
ITE00100550,18640118,TMAX,-5.0,23.0
ITE00100550,18640114,TMAX,-5.0,23.0
ITE00100550,18640113,TMAX,-4.3,24.259999999999998
ITE00100550,18640115,TMAX,-3.1,26.42
ITE00100550,18640103,TMAX,-2.8,26.96
ITE00100550,18640116,TMAX,-2.5,27.5
ITE00100550,18640112,TMAX,-2.5,27.5
ITE00100550,18640105,TMAX,-1.9,28.58
ITE00100550,18640211,TMAX,-1.8,28.759999999999998
ITE00100550,18640119,TMAX,-1.6,29.12
ITE00100550,18640111,TMAX,-1.5,29.3
ITE00100550,18640106,TMAX,-1.3,29.66
ITE00100550,18640210,TMAX,-1.0,30.2
ITE00100550,18640120,TMAX,-0.9,30.38
ITE00100550,18640208,TMAX,-0.6,30.92
ITE00100550,18640107,TMAX,-0.4,31.28
ITE00100550,18640121,TMAX,-0.4,31.28
ITE00100550,18640104,TMAX,0.0,32.0
ITE00100550,18640220,TMAX,0.0,32.0
ITE00100550,18640131,TMAX,0.1,32.18
ITE00100550,18640110,TMAX,0.6,33.08
ITE00100550,18640102,TMAX,0.8,33.44
ITE00100550,18640209,TMAX,0.9,33.62
ITE00100550,18640122,TMAX,0.9,33.62
ITE00100550,18640101,TMAX,1.0,33.8
ITE00100550,18640202,TMAX,1.1,33.98
ITE00100550,18640108,TMAX,1.3,34.34
ITE00100550,18640109,TMAX,1.3,34.34
ITE00100550,18640201,TMAX,1.3,34.34
ITE00100550,18641225,TMAX,1.5,34.7
ITE00100550,18640206,TMAX,1.5,34.7
ITE00100550,18641226,TMAX,1.6,34.88
ITE00100550,18641227,TMAX,2.0,35.6
ITE00100550,18641207,TMAX,2.3,36.14
ITE00100550,18640123,TMAX,2.5,36.5
ITE00100550,18640212,TMAX,2.5,36.5
ITE00100550,18640207,TMAX,2.9,37.22
ITE00100550,18641205,TMAX,3.0,37.4
ITE00100550,18640205,TMAX,3.0,37.4
ITE00100550,18640130,TMAX,3.1,37.58
ITE00100550,18641206,TMAX,3.1,37.58
ITE00100550,18641213,TMAX,3.1,37.58
ITE00100550,18641231,TMAX,3.3,37.94
ITE00100550,18640129,TMAX,3.5,38.3
ITE00100550,18640214,TMAX,3.8,38.84
ITE00100550,18640125,TMAX,3.8,38.84
ITE00100550,18640213,TMAX,3.8,38.84
ITE00100550,18641208,TMAX,3.9,39.019999999999996
ITE00100550,18640124,TMAX,3.9,39.019999999999996
ITE00100550,18641223,TMAX,4.0,39.2
ITE00100550,18641224,TMAX,4.0,39.2
ITE00100550,18640219,TMAX,4.0,39.2
ITE00100550,18640217,TMAX,4.4,39.92
ITE00100550,18640222,TMAX,4.4,39.92
ITE00100550,18640127,TMAX,4.4,39.92
ITE00100550,18641214,TMAX,4.4,39.92
ITE00100550,18641212,TMAX,4.6,40.28
ITE00100550,18640128,TMAX,4.6,40.28
ITE00100550,18640203,TMAX,5.0,41.0
ITE00100550,18641111,TMAX,5.0,41.0
ITE00100550,18641107,TMAX,5.0,41.0
ITE00100550,18641230,TMAX,5.0,41.0
ITE00100550,18641222,TMAX,5.0,41.0
ITE00100550,18640223,TMAX,5.0,41.0
ITE00100550,18640126,TMAX,5.3,41.54
ITE00100550,18640204,TMAX,5.4,41.72
ITE00100550,18641204,TMAX,5.6,42.08
ITE00100550,18641108,TMAX,5.9,42.620000000000005
ITE00100550,18641210,TMAX,6.0,42.8
ITE00100550,18641228,TMAX,6.3,43.34
ITE00100550,18641221,TMAX,6.3,43.34
ITE00100550,18640407,TMAX,6.3,43.34
ITE00100550,18641209,TMAX,6.5,43.7
ITE00100550,18641203,TMAX,6.5,43.7
ITE00100550,18641127,TMAX,6.5,43.7
ITE00100550,18640228,TMAX,6.6,43.879999999999995
ITE00100550,18640225,TMAX,6.6,43.879999999999995
ITE00100550,18641211,TMAX,6.6,43.879999999999995
ITE00100550,18640226,TMAX,6.8,44.24
ITE00100550,18641215,TMAX,6.9,44.42
ITE00100550,18640229,TMAX,6.9,44.42
