Abbey',; 'Adrian',; 'Addie',;;;;;;
 'Abbie',; 'Adrien',; 'Alex',;;;;;;
 'Abby',; 'Ajay',; 'Alfie',;;;;;;
 'Alexis',; 'Ali',; 'Alix',;;;;;;
 'Allie',; 'Andie',; 'Allyn',;;;;;;
 'Angel',; 'Andy',; 'Andrea',;;;;;;
 'Angie',; 'Austin',; 'Barrie',;;;;;;
 'Ariel',; 'Bennie',; 'Barry',;;;;;;
 'Ashley',; 'Benny',; 'Beau',;;;;;;
 'Aubrey',; 'Bernie',; 'Billie',;;;;;;
 'Augustine',; 'Bert',; 'Billy',;;;;;;
 'Averil',; 'Bertie',; 'Blake',;;;;;;
 'Blair',; 'Bill',; 'Bobbie',;;;;;;
 'Brandy',; 'Bo',; 'Bobby',;;;;;;
 'Brook',; 'Brett',; 'Britt',;;;;;;
 'Brooke',; 'Chad',; 'Bryn',;;;;;;
 'Brooks',; 'Chris',; 'Cal',;;;;;;
 'Carey',; 'Christian',; 'Cam',;;;;;;
 'Carlie',; 'Claude',; 'Cammy',;;;;;;
 'Cat',; 'Cody',; 'Carlin',;;;;;;
 'Chrissy',; 'Constantine',; 'Carmine',;;;;;;
 'Christie',; 'Corey',; 'Carroll',;;;;;;
 'Christy',; 'Corrie',; 'Cary',;;;;;;
 'Clair',; 'Cory',; 'Caryl',;;;;;;
 'Claire',; 'Dale',; 'Casey',;;;;;;
 'Clare',; 'Daniel',; 'Cass',;;;;;;
 'Connie',; 'Dannie',; 'Cecil',;;;;;;
 'Courtney',; 'Danny',; 'Clem',;;;;;;
 'Dory',; 'Darryl',; 'Clemmie',;;;;;;
 'Emmy',; 'Daryl',; 'Cris',;;;;;;
 'Erin',; 'Demetris',; 'Daffy',;;;;;;
 'Esme',; 'Denny',; 'Dallas',;;;;;;
 'Evelyn',; 'Devin',; 'Dana',;;;;;;
 'Felice',; 'Devon',; 'Dani',;;;;;;
 'Georgia',; 'Dorian',; 'Darby',;;;;;;
 'Ginger',; 'Drew',; 'Darcy',;;;;;;
 'Grace',; 'Eddie',; 'Deane',;;;;;;
 'Gretchen',; 'Eddy',; 'Del',;;;;;;
 'Haleigh',; 'Edie',; 'Dell',;;;;;;
 'Haley',; 'Francis',; 'Dennie',;;;;;;
 'Hilary',; 'Frank',; 'Dion',;;;;;;
 'Hillary',; 'Fred',; 'Dionis',;;;;;;
 'Holly',; 'Freddie',; 'Dominique',;;;;;;
 'Ira',; 'Freddy',; 'Donnie',;;;;;;
 'Isa',; 'Gay',; 'Donny',;;;;;;
 'Isador',; 'Gayle',; 'Elisha',;;;;;;
 'Isadore',; 'Gene',; 'Fran',;;;;;;
 'Jean',; 'George',; 'Frankie',;;;;;;
 'Juanita',; 'Geri',; 'Franky',;;;;;;
 'Judith',; 'Germaine',; 'Gabriel',;;;;;;
 'Judy',; 'Gerri',; 'Gabriell',;;;;;;
 'Julie',; 'Gerry',; 'Gail',;;;;;;
 'Kelley',; 'Glen',; 'Gale',;;;;;;
 'Kelsey',; 'Glenn',; 'Georgie',;;;;;;
 'Kerry',; 'Gus',; 'Gill',;;;;;;
 'Lauren',; 'Hannibal',; 'Harley',;;;;;;
 'Laurie',; 'Heath',; 'Hazel',;;;;;;
 'Lindsay',; 'Henrie',; 'Ikey',;;;;;;
 'Lindsey',; 'Ike',; 'Jackie',;;;;;;
 'Lindy',; 'Jan',; 'Jaime',;;;;;;
 'Lorrie',; 'Jermaine',; 'Jamie',;;;;;;
 'Luce',; 'Jerrie',; 'Jere',;;;;;;
 'Lyn',; 'Jerry',; 'Jess',;;;;;;
 'Lynn',; 'Joey',; 'Jesse',;;;;;;
 'Maddie',; 'Jordan',; 'Jessie',;;;;;;
 'Maddy',; 'Justin',; 'Jo',;;;;;;
 'Marietta',; 'Karel',; 'Jodi',;;;;;;
 'Marion',; 'Kyle',; 'Jodie',;;;;;;
 'Meredith',; 'Leland',; 'Jody',;;;;;;
 'Meryl',; 'Marlo',; 'Jude',;;;;;;
 'Millicent',; 'Martie',; 'Kellen',;;;;;;
 'Nichole',; 'Marty',; 'Kelly',;;;;;;
 'Nickie',; 'Michal',; 'Kim',;;;;;;
 'Nicky',; 'Mickie',; 'Kip',;;;;;;
