,Station identifier,Data,Observation type,Observation value,TMAX_F
0,ITE00100550,18640101,TMAX,10,50.0
75,ITE00100550,18640102,TMAX,8,46.4
152,ITE00100550,18640103,TMAX,-28,-18.4
227,ITE00100550,18640104,TMAX,0,32.0
305,ITE00100550,18640105,TMAX,-19,-2.200000000000003
383,ITE00100550,18640106,TMAX,-13,8.599999999999998
460,ITE00100550,18640107,TMAX,-4,24.8
538,ITE00100550,18640108,TMAX,13,55.400000000000006
618,ITE00100550,18640109,TMAX,13,55.400000000000006
695,ITE00100550,18640110,TMAX,6,42.8
770,ITE00100550,18640111,TMAX,-15,5.0
847,ITE00100550,18640112,TMAX,-25,-13.0
924,ITE00100550,18640113,TMAX,-43,-45.400000000000006
1002,ITE00100550,18640114,TMAX,-50,-58.0
1080,ITE00100550,18640115,TMAX,-31,-23.800000000000004
1158,ITE00100550,18640116,TMAX,-25,-13.0
1236,ITE00100550,18640117,TMAX,-63,-81.4
1311,ITE00100550,18640118,TMAX,-50,-58.0
1388,ITE00100550,18640119,TMAX,-16,3.1999999999999993
1465,ITE00100550,18640120,TMAX,-9,15.8
1542,ITE00100550,18640121,TMAX,-4,24.8
1619,ITE00100550,18640122,TMAX,9,48.2
1696,ITE00100550,18640123,TMAX,25,77.0
1774,ITE00100550,18640124,TMAX,39,102.2
1850,ITE00100550,18640125,TMAX,38,100.4
1928,ITE00100550,18640126,TMAX,53,127.4
2006,ITE00100550,18640127,TMAX,44,111.2
2084,ITE00100550,18640128,TMAX,46,114.8
2161,ITE00100550,18640129,TMAX,35,95.0
2238,ITE00100550,18640130,TMAX,31,87.80000000000001
2315,ITE00100550,18640131,TMAX,1,33.8
2391,ITE00100550,18640201,TMAX,13,55.400000000000006
2464,ITE00100550,18640202,TMAX,11,51.8
2537,ITE00100550,18640203,TMAX,50,122.0
2610,ITE00100550,18640204,TMAX,54,129.2
2683,ITE00100550,18640205,TMAX,30,86.0
2755,ITE00100550,18640206,TMAX,15,59.0
2828,ITE00100550,18640207,TMAX,29,84.2
2900,ITE00100550,18640208,TMAX,-6,21.2
2973,ITE00100550,18640209,TMAX,9,48.2
3046,ITE00100550,18640210,TMAX,-10,14.0
3118,ITE00100550,18640211,TMAX,-18,-0.3999999999999986
3192,ITE00100550,18640212,TMAX,25,77.0
