station identifier,date,data,observation type,observation value,TMAX_F
ITE00100550,1864-01-14,TMIN,-138,E,-216.4
ITE00100550,1864-01-15,TMIN,-131,E,-203.8
ITE00100550,1864-01-17,TMIN,-116,E,-176.8
ITE00100550,1864-01-13,TMIN,-115,E,-175.0
ITE00100550,1864-01-18,TMIN,-100,E,-148.0
ITE00100550,1864-01-16,TMIN,-94,E,-137.20000000000002
ITE00100550,1864-01-03,TMIN,-88,E,-126.4
ITE00100550,1864-01-19,TMIN,-83,E,-117.4
ITE00100550,1864-01-12,TMIN,-81,E,-113.80000000000001
ITE00100550,1864-01-20,TMIN,-71,E,-95.8
ITE00100550,1864-01-04,TMIN,-71,E,-95.8
ITE00100550,1864-02-10,TMIN,-71,E,-95.8
ITE00100550,1864-01-05,TMIN,-71,E,-95.8
ITE00100550,1864-01-06,TMIN,-65,E,-85.0
ITE00100550,1864-02-11,TMIN,-63,E,-81.4
ITE00100550,1864-01-17,TMAX,-63,E,-81.4
ITE00100550,1864-01-11,TMIN,-61,E,-77.8
ITE00100550,1864-01-10,TMIN,-60,E,-76.0
ITE00100550,1864-01-21,TMIN,-56,E,-68.8
ITE00100550,1864-01-07,TMIN,-56,E,-68.8
ITE00100550,1864-02-01,TMIN,-54,E,-65.2
ITE00100550,1864-01-23,TMIN,-53,E,-63.400000000000006
ITE00100550,1864-01-14,TMAX,-50,E,-58.0
ITE00100550,1864-01-18,TMAX,-50,E,-58.0
ITE00100550,1864-02-09,TMIN,-48,E,-54.400000000000006
ITE00100550,1864-01-31,TMIN,-48,E,-54.400000000000006
ITE00100550,1864-02-07,TMIN,-46,E,-50.8
ITE00100550,1864-01-22,TMIN,-46,E,-50.8
ITE00100550,1864-02-13,TMIN,-43,E,-45.400000000000006
ITE00100550,1864-01-13,TMAX,-43,E,-45.400000000000006
ITE00100550,1864-01-08,TMIN,-40,E,-40.0
ITE00100550,1864-02-08,TMIN,-40,E,-40.0
ITE00100550,1864-01-24,TMIN,-38,E,-36.400000000000006
ITE00100550,1864-02-12,TMIN,-38,E,-36.400000000000006
ITE00100550,1864-02-14,TMIN,-35,E,-31.0
ITE00100550,1864-02-20,TMIN,-35,E,-31.0
ITE00100550,1864-01-02,TMIN,-34,E,-29.200000000000003
ITE00100550,1864-02-21,TMIN,-34,E,-29.200000000000003
ITE00100550,1864-12-12,TMIN,-34,E,-29.200000000000003
ITE00100550,1864-02-19,TMIN,-34,E,-29.200000000000003
ITE00100550,1864-02-02,TMIN,-33,E,-27.4
ITE00100550,1864-01-09,TMIN,-31,E,-23.800000000000004
ITE00100550,1864-01-15,TMAX,-31,E,-23.800000000000004
ITE00100550,1864-12-07,TMIN,-29,E,-20.200000000000003
ITE00100550,1864-01-28,TMIN,-29,E,-20.200000000000003
ITE00100550,1864-01-03,TMAX,-28,E,-18.4
ITE00100550,1864-01-16,TMAX,-25,E,-13.0
ITE00100550,1864-12-13,TMIN,-25,E,-13.0
ITE00100550,1864-02-15,TMIN,-25,E,-13.0
ITE00100550,1864-01-12,TMAX,-25,E,-13.0
ITE00100550,1864-01-30,TMIN,-25,E,-13.0
ITE00100550,1864-12-31,TMIN,-23,E,-9.399999999999999
ITE00100550,1864-12-05,TMIN,-23,E,-9.399999999999999
ITE00100550,1864-12-06,TMIN,-23,E,-9.399999999999999
ITE00100550,1864-01-01,TMIN,-23,E,-9.399999999999999
ITE00100550,1864-12-26,TMIN,-21,E,-5.800000000000004
ITE00100550,1864-01-29,TMIN,-21,E,-5.800000000000004
ITE00100550,1864-12-27,TMIN,-20,E,-4.0
